Series_Title,Genre,Released_Year,IMDB_Rating,dataset_split
Back to the Future,"Adventure, Comedy, Sci-Fi",1985,8.5,train
Once Upon a Time in the West,Western,1968,8.5,train
Psycho,"Horror, Mystery, Thriller",1960,8.5,train
Casablanca,"Drama, Romance, War",1942,8.5,train
Modern Times,"Comedy, Drama, Family",1936,8.5,train
City Lights,"Comedy, Drama, Romance",1931,8.5,train
Capharnaüm,Drama,2018,8.4,train
Ayla: The Daughter of War,"Biography, Drama, History",2017,8.4,test
Vikram Vedha,"Action, Crime, Drama",2017,8.4,test
Kimi no na wa.,"Animation, Drama, Fantasy",2016,8.4,train
Dangal,"Action, Biography, Drama",2016,8.4,train
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",2018,8.4,train
Avengers: Endgame,"Action, Adventure, Drama",2019,8.4,test
Avengers: Infinity War,"Action, Adventure, Sci-Fi",2018,8.4,test
Coco,"Animation, Adventure, Family",2017,8.4,train
Django Unchained,"Drama, Western",2012,8.4,train
The Dark Knight Rises,"Action, Adventure",2012,8.4,test
3 Idiots,"Comedy, Drama",2009,8.4,train
Taare Zameen Par,"Drama, Family",2007,8.4,train
WALL·E,"Animation, Adventure, Family",2008,8.4,test
The Lives of Others,"Drama, Mystery, Thriller",2006,8.4,test
Oldeuboi,"Action, Drama, Mystery",2003,8.4,train
Memento,"Mystery, Thriller",2000,8.4,train
Mononoke-hime,"Animation, Action, Adventure",1997,8.4,test
Once Upon a Time in America,"Crime, Drama",1984,8.4,train
Raiders of the Lost Ark,"Action, Adventure",1981,8.4,test
The Shining,"Drama, Horror",1980,8.4,train
Apocalypse Now,"Drama, Mystery, War",1979,8.4,train
Alien,"Horror, Sci-Fi",1979,8.4,train
Anand,"Drama, Musical",1971,8.4,test
Tengoku to jigoku,"Crime, Drama, Mystery",1963,8.4,train
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,8.4,test
Witness for the Prosecution,"Crime, Drama, Mystery",1957,8.4,train
Paths of Glory,"Drama, War",1957,8.4,train
Rear Window,"Mystery, Thriller",1954,8.4,train
Sunset Blvd.,"Drama, Film-Noir",1950,8.4,train
The Great Dictator,"Comedy, Drama, War",1940,8.4,train
1917,"Drama, Thriller, War",2019,8.3,train
Tumbbad,"Drama, Fantasy, Horror",2018,8.3,train
Andhadhun,"Crime, Drama, Music",2018,8.3,test
Drishyam,"Crime, Drama, Thriller",2013,8.3,train
Jagten,Drama,2012,8.3,test
Jodaeiye Nader az Simin,Drama,2011,8.3,train
Incendies,"Drama, Mystery, War",2010,8.3,train
Miracle in cell NO.7,Drama,2019,8.3,train
Babam ve Oglum,"Drama, Family",2005,8.3,train
Inglourious Basterds,"Adventure, Drama, War",2009,8.3,train
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",2004,8.3,train
Amélie,"Comedy, Romance",2001,8.3,train
Snatch,"Comedy, Crime",2000,8.3,test
Requiem for a Dream,Drama,2000,8.3,train
American Beauty,Drama,1999,8.3,train
Good Will Hunting,"Drama, Romance",1997,8.3,train
Bacheha-Ye aseman,"Drama, Family, Sport",1997,8.3,train
Toy Story,"Animation, Adventure, Comedy",1995,8.3,test
Braveheart,"Biography, Drama, History",1995,8.3,train
Reservoir Dogs,"Crime, Drama, Thriller",1992,8.3,train
Full Metal Jacket,"Drama, War",1987,8.3,train
Idi i smotri,"Drama, Thriller, War",1985,8.3,train
Aliens,"Action, Adventure, Sci-Fi",1986,8.3,train
Amadeus,"Biography, Drama, History",1984,8.3,test
Scarface,"Crime, Drama",1983,8.3,train
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",1983,8.3,train
Das Boot,"Adventure, Drama, Thriller",1981,8.3,test
Taxi Driver,"Crime, Drama",1976,8.3,train
The Sting,"Comedy, Crime, Drama",1973,8.3,train
A Clockwork Orange,"Crime, Drama, Sci-Fi",1971,8.3,train
2001: A Space Odyssey,"Adventure, Sci-Fi",1968,8.3,train
Per qualche dollaro in più,Western,1965,8.3,train
Lawrence of Arabia,"Adventure, Biography, Drama",1962,8.3,train
The Apartment,"Comedy, Drama, Romance",1960,8.3,train
North by Northwest,"Adventure, Mystery, Thriller",1959,8.3,train
Vertigo,"Mystery, Romance, Thriller",1958,8.3,train
Singin' in the Rain,"Comedy, Musical, Romance",1952,8.3,test
Ikiru,Drama,1952,8.3,train
Ladri di biciclette,Drama,1948,8.3,train
Double Indemnity,"Crime, Drama, Film-Noir",1944,8.3,train
Citizen Kane,"Drama, Mystery",1941,8.3,train
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller",1931,8.3,train
Metropolis,"Drama, Sci-Fi",1927,8.3,train
The Kid,"Comedy, Drama, Family",1921,8.3,train
Chhichhore,"Comedy, Drama",2019,8.2,train
Uri: The Surgical Strike,"Action, Drama, War",2018,8.2,train
K.G.F: Chapter 1,"Action, Drama",2018,8.2,train
Green Book,"Biography, Comedy, Drama",2018,8.2,train
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",2017,8.2,train
Talvar,"Crime, Drama, Mystery",2015,8.2,train
Baahubali 2: The Conclusion,"Action, Drama",2017,8.2,train
Klaus,"Animation, Adventure, Comedy",2019,8.2,train
Drishyam,"Crime, Drama, Mystery",2015,8.2,test
Queen,"Adventure, Comedy, Drama",2013,8.2,test
Mandariinid,"Drama, War",2013,8.2,train
Bhaag Milkha Bhaag,"Biography, Drama, Sport",2013,8.2,test
Gangs of Wasseypur,"Action, Comedy, Crime",2012,8.2,train
Udaan,Drama,2010,8.2,train
Paan Singh Tomar,"Action, Biography, Crime",2012,8.2,train
El secreto de sus ojos,"Drama, Mystery, Romance",2009,8.2,train
Warrior,"Action, Drama, Sport",2011,8.2,train
Shutter Island,"Mystery, Thriller",2010,8.2,train
Up,"Animation, Adventure, Comedy",2009,8.2,train
The Wolf of Wall Street,"Biography, Crime, Drama",2013,8.2,train
Chak De! India,"Drama, Family, Sport",2007,8.2,train
There Will Be Blood,Drama,2007,8.2,train
Pan's Labyrinth,"Drama, Fantasy, War",2006,8.2,train
Toy Story 3,"Animation, Adventure, Comedy",2010,8.2,train
V for Vendetta,"Action, Drama, Sci-Fi",2005,8.2,train
Rang De Basanti,"Comedy, Crime, Drama",2006,8.2,train
Black,Drama,2005,8.2,train
Batman Begins,"Action, Adventure",2005,8.2,train
"Swades: We, the People",Drama,2004,8.2,train
Der Untergang,"Biography, Drama, History",2004,8.2,train
Hauru no ugoku shiro,"Animation, Adventure, Family",2004,8.2,test
A Beautiful Mind,"Biography, Drama",2001,8.2,train
Hera Pheri,"Action, Comedy, Crime",2000,8.2,train
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",1998,8.2,train
L.A. Confidential,"Crime, Drama, Mystery",1997,8.2,train
Eskiya,"Crime, Drama, Thriller",1996,8.2,train
Heat,"Crime, Drama, Thriller",1995,8.2,train
Casino,"Crime, Drama",1995,8.2,train
Andaz Apna Apna,"Action, Comedy, Romance",1994,8.2,train
Unforgiven,"Drama, Western",1992,8.2,train
Indiana Jones and the Last Crusade,"Action, Adventure",1989,8.2,test
Dom za vesanje,"Comedy, Crime, Drama",1988,8.2,train
Tonari no Totoro,"Animation, Family, Fantasy",1988,8.2,train
Die Hard,"Action, Thriller",1988,8.2,train
Ran,"Action, Drama, War",1985,8.2,train
Raging Bull,"Biography, Drama, Sport",1980,8.2,train
Stalker,"Drama, Sci-Fi",1979,8.2,test
Höstsonaten,"Drama, Music",1978,8.2,train
The Message,"Biography, Drama, History",1976,8.2,train
Sholay,"Action, Adventure, Comedy",1975,8.2,train
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",1975,8.2,train
The Great Escape,"Adventure, Drama, History",1963,8.2,train
To Kill a Mockingbird,"Crime, Drama",1962,8.2,train
Yôjinbô,"Action, Drama, Thriller",1961,8.2,train
Judgment at Nuremberg,"Drama, War",1961,8.2,train
Some Like It Hot,"Comedy, Music, Romance",1959,8.2,train
Smultronstället,"Drama, Romance",1957,8.2,test
Det sjunde inseglet,"Drama, Fantasy, History",1957,8.2,train
Du rififi chez les hommes,"Crime, Drama, Thriller",1955,8.2,train
Dial M for Murder,"Crime, Thriller",1954,8.2,train
Tôkyô monogatari,Drama,1953,8.2,train
Rashômon,"Crime, Drama, Mystery",1950,8.2,train
All About Eve,Drama,1950,8.2,train
The Treasure of the Sierra Madre,"Adventure, Drama, Western",1948,8.2,train
To Be or Not to Be,"Comedy, War",1942,8.2,train
The Gold Rush,"Adventure, Comedy, Drama",1925,8.2,train
Sherlock Jr.,"Action, Comedy, Romance",1924,8.2,train
Portrait de la jeune fille en feu,"Drama, Romance",2019,8.1,train
Pink,"Drama, Thriller",2016,8.1,train
Koe no katachi,"Animation, Drama, Family",2016,8.1,train
Contratiempo,"Crime, Drama, Mystery",2016,8.1,test
Ah-ga-ssi,"Drama, Romance, Thriller",2016,8.1,test
Mommy,Drama,2014,8.1,train
Haider,"Action, Crime, Drama",2014,8.1,train
Logan,"Action, Drama, Sci-Fi",2017,8.1,train
Room,"Drama, Thriller",2015,8.1,train
Relatos salvajes,"Comedy, Drama, Thriller",2014,8.1,train
Soul,"Animation, Adventure, Comedy",2020,8.1,train
Kis Uykusu,Drama,2014,8.1,train
PK,"Comedy, Drama, Musical",2014,8.1,train
OMG: Oh My God!,"Comedy, Drama, Fantasy",2012,8.1,test
The Grand Budapest Hotel,"Adventure, Comedy, Crime",2014,8.1,test
Gone Girl,"Drama, Mystery, Thriller",2014,8.1,test
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy",2012,8.1,train
Hacksaw Ridge,"Biography, Drama, History",2016,8.1,train
Inside Out,"Animation, Adventure, Comedy",2015,8.1,test
Barfi!,"Comedy, Drama, Romance",2012,8.1,train
12 Years a Slave,"Biography, Drama, History",2013,8.1,test
Rush,"Action, Biography, Drama",2013,8.1,train
Ford v Ferrari,"Action, Biography, Drama",2019,8.1,train
Spotlight,"Biography, Crime, Drama",2015,8.1,test
Song of the Sea,"Animation, Adventure, Drama",2014,8.1,train
Kahaani,"Mystery, Thriller",2012,8.1,train
Zindagi Na Milegi Dobara,"Comedy, Drama",2011,8.1,test
Prisoners,"Crime, Drama, Mystery",2013,8.1,train
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",2015,8.1,train
A Wednesday,"Action, Crime, Drama",2008,8.1,train
Gran Torino,Drama,2008,8.1,train
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",2011,8.1,train
Okuribito,"Drama, Music",2008,8.1,train
Hachi: A Dog's Tale,"Biography, Drama, Family",2009,8.1,train
Mary and Max,"Animation, Comedy, Drama",2009,8.1,train
How to Train Your Dragon,"Animation, Action, Adventure",2010,8.1,train
Into the Wild,"Adventure, Biography, Drama",2007,8.1,train
No Country for Old Men,"Crime, Drama, Thriller",2007,8.1,train
Lage Raho Munna Bhai,"Comedy, Drama, Romance",2006,8.1,train
Million Dollar Baby,"Drama, Sport",2004,8.1,train
Hotel Rwanda,"Biography, Drama, History",2004,8.1,test
Taegukgi hwinalrimyeo,"Action, Drama, War",2004,8.1,train
Before Sunset,"Drama, Romance",2004,8.1,test
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",2003,8.1,train
Salinui chueok,"Crime, Drama, Mystery",2003,8.1,train
Dil Chahta Hai,"Comedy, Drama, Romance",2001,8.1,train
Kill Bill: Vol. 1,"Action, Crime, Drama",2003,8.1,train
Finding Nemo,"Animation, Adventure, Comedy",2003,8.1,train
Catch Me If You Can,"Biography, Crime, Drama",2002,8.1,train
Amores perros,"Drama, Thriller",2000,8.1,test
"Monsters, Inc.","Animation, Adventure, Comedy",2001,8.1,train
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",1997,8.1,train
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",2001,8.1,test
The Sixth Sense,"Drama, Mystery, Thriller",1999,8.1,train
La leggenda del pianista sull'oceano,"Drama, Music, Romance",1998,8.1,train
The Truman Show,"Comedy, Drama",1998,8.1,train
"Crna macka, beli macor","Comedy, Crime, Romance",1998,8.1,train
The Big Lebowski,"Comedy, Crime, Sport",1998,8.1,train
Fa yeung nin wah,"Drama, Romance",2000,8.1,train
Trainspotting,Drama,1996,8.1,test
Fargo,"Crime, Drama, Thriller",1996,8.1,train
Underground,"Comedy, Drama, War",1995,8.1,test
La haine,"Crime, Drama",1995,8.1,train
Dilwale Dulhania Le Jayenge,"Drama, Romance",1995,8.1,train
Before Sunrise,"Drama, Romance",1995,8.1,test
Trois couleurs: Rouge,"Drama, Mystery, Romance",1994,8.1,test
Chung Hing sam lam,"Comedy, Crime, Drama",1994,8.1,test
Jurassic Park,"Action, Adventure, Sci-Fi",1993,8.1,train
In the Name of the Father,"Biography, Crime, Drama",1993,8.1,train
Ba wang bie ji,"Drama, Music, Romance",1993,8.1,train
Dà hóng denglong gaogao guà,"Drama, History, Romance",1991,8.1,test
Dead Poets Society,"Comedy, Drama",1989,8.1,train
Stand by Me,"Adventure, Drama",1986,8.1,train
Platoon,"Drama, War",1986,8.1,train
"Paris, Texas",Drama,1984,8.1,train
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",1984,8.1,train
The Thing,"Horror, Mystery, Sci-Fi",1982,8.1,train
Pink Floyd: The Wall,"Drama, Fantasy, Music",1982,8.1,train
Fitzcarraldo,"Adventure, Drama",1982,8.1,train
Fanny och Alexander,Drama,1982,8.1,train
Blade Runner,"Action, Sci-Fi, Thriller",1982,8.1,test
The Elephant Man,"Biography, Drama",1980,8.1,train
Life of Brian,Comedy,1979,8.1,test
The Deer Hunter,"Drama, War",1978,8.1,train
Rocky,"Drama, Sport",1976,8.1,train
Network,Drama,1976,8.1,test
Barry Lyndon,"Adventure, Drama, History",1975,8.1,test
Zerkalo,"Biography, Drama",1975,8.1,train
Chinatown,"Drama, Mystery, Thriller",1974,8.1,train
Paper Moon,"Comedy, Crime, Drama",1973,8.1,train
Viskningar och rop,Drama,1972,8.1,train
Solaris,"Drama, Mystery, Sci-Fi",1972,8.1,train
Le samouraï,"Crime, Drama, Mystery",1967,8.1,train
Cool Hand Luke,"Crime, Drama",1967,8.1,train
Persona,"Drama, Thriller",1966,8.1,test
Andrei Rublev,"Biography, Drama, History",1966,8.1,train
La battaglia di Algeri,"Drama, War",1966,8.1,train
El ángel exterminador,"Drama, Fantasy",1962,8.1,test
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",1962,8.1,train
Sanjuro,"Action, Comedy, Crime",1962,8.1,test
The Man Who Shot Liberty Valance,"Drama, Western",1962,8.1,train
Ivanovo detstvo,"Drama, War",1962,8.1,test
Jungfrukällan,Drama,1960,8.1,train
Inherit the Wind,"Biography, Drama, History",1960,8.1,test
Les quatre cents coups,"Crime, Drama",1959,8.1,test
Ben-Hur,"Adventure, Drama, History",1959,8.1,train
Kakushi-toride no san-akunin,"Adventure, Drama",1958,8.1,train
Le notti di Cabiria,Drama,1957,8.1,train
Kumonosu-jô,"Drama, History",1957,8.1,train
The Bridge on the River Kwai,"Adventure, Drama, War",1957,8.1,train
On the Waterfront,"Crime, Drama, Thriller",1954,8.1,train
Le salaire de la peur,"Adventure, Drama, Thriller",1953,8.1,train
Ace in the Hole,"Drama, Film-Noir",1951,8.1,test
White Heat,"Action, Crime, Drama",1949,8.1,train
The Third Man,"Film-Noir, Mystery, Thriller",1949,8.1,test
The Red Shoes,"Drama, Music, Romance",1948,8.1,test
The Shop Around the Corner,"Comedy, Drama, Romance",1940,8.1,train
Rebecca,"Drama, Mystery, Romance",1940,8.1,test
Mr. Smith Goes to Washington,"Comedy, Drama",1939,8.1,train
Gone with the Wind,"Drama, History, Romance",1939,8.1,test
La Grande Illusion,"Drama, War",1937,8.1,train
It Happened One Night,"Comedy, Romance",1934,8.1,train
La passion de Jeanne d'Arc,"Biography, Drama, History",1928,8.1,train
The Circus,"Comedy, Romance",1928,8.1,test
Sunrise: A Song of Two Humans,"Drama, Romance",1927,8.1,test
The General,"Action, Adventure, Comedy",1926,8.1,train
Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery",1920,8.1,test
Badhaai ho,"Comedy, Drama",2018,8.0,train
Togo,"Adventure, Biography, Drama",2019,8.0,train
Airlift,"Drama, History",2016,8.0,train
Bajrangi Bhaijaan,"Action, Adventure, Comedy",2015,8.0,train
Baby,"Action, Crime, Thriller",2015,8.0,train
La La Land,"Comedy, Drama, Music",2016,8.0,test
Lion,"Biography, Drama",2016,8.0,test
The Martian,"Adventure, Drama, Sci-Fi",2015,8.0,train
Zootopia,"Animation, Adventure, Comedy",2016,8.0,train
Bãhubali: The Beginning,"Action, Drama",2015,8.0,train
Kaguyahime no monogatari,"Animation, Adventure, Drama",2013,8.0,test
Wonder,"Drama, Family",2017,8.0,train
Gully Boy,"Drama, Music, Romance",2019,8.0,train
Special Chabbis,"Crime, Drama, Thriller",2013,8.0,train
Short Term 12,Drama,2013,8.0,train
Serbuan maut 2: Berandal,"Action, Crime, Thriller",2014,8.0,train
The Imitation Game,"Biography, Drama, Thriller",2014,8.0,train
Guardians of the Galaxy,"Action, Adventure, Comedy",2014,8.0,train
Blade Runner 2049,"Action, Drama, Mystery",2017,8.0,train
Her,"Drama, Romance, Sci-Fi",2013,8.0,train
Bohemian Rhapsody,"Biography, Drama, Music",2018,8.0,train
The Revenant,"Action, Adventure, Drama",2015,8.0,train
The Perks of Being a Wallflower,"Drama, Romance",2012,8.0,train
Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",2010,8.0,train
The King's Speech,"Biography, Drama, History",2010,8.0,test
The Help,Drama,2011,8.0,train
Deadpool,"Action, Adventure, Comedy",2016,8.0,train
Darbareye Elly,"Drama, Mystery",2009,8.0,train
Dev.D,"Drama, Romance",2009,8.0,train
Yip Man,"Action, Biography, Drama",2008,8.0,test
My Name Is Khan,Drama,2010,8.0,train
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",2009,8.0,train
Slumdog Millionaire,"Drama, Romance",2008,8.0,train
Black Swan,"Drama, Thriller",2010,8.0,test
Tropa de Elite,"Action, Crime, Drama",2007,8.0,train
The Avengers,"Action, Adventure, Sci-Fi",2012,8.0,train
Persepolis,"Animation, Biography, Drama",2007,8.0,train
Dallas Buyers Club,"Biography, Drama",2013,8.0,train
The Pursuit of Happyness,"Biography, Drama",2006,8.0,train
Blood Diamond,"Adventure, Drama, Thriller",2006,8.0,test
The Bourne Ultimatum,"Action, Mystery, Thriller",2007,8.0,train
Bin-jip,"Crime, Drama, Romance",2004,8.0,test
Sin City,"Crime, Thriller",2005,8.0,train
Le scaphandre et le papillon,"Biography, Drama",2007,8.0,test
G.O.R.A.,"Adventure, Comedy, Sci-Fi",2004,8.0,train
Ratatouille,"Animation, Adventure, Comedy",2007,8.0,train
Casino Royale,"Action, Adventure, Thriller",2006,8.0,train
Kill Bill: Vol. 2,"Action, Crime, Thriller",2004,8.0,train
Vozvrashchenie,Drama,2003,8.0,test
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",2003,8.0,test
Mar adentro,"Biography, Drama",2014,8.0,train
Cinderella Man,"Biography, Drama, History",2005,8.0,train
Kal Ho Naa Ho,"Comedy, Drama, Musical",2003,8.0,train
Mou gaan dou,"Action, Crime, Drama",2002,8.0,train
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",2003,8.0,train
Big Fish,"Adventure, Drama, Fantasy",2003,8.0,test
The Incredibles,"Animation, Action, Adventure",2004,8.0,train
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",2001,8.0,train
Dogville,"Crime, Drama",2003,8.0,train
Vizontele,"Comedy, Drama",2001,8.0,train
Donnie Darko,"Drama, Mystery, Sci-Fi",2001,8.0,test
Magnolia,Drama,1999,8.0,train
Dancer in the Dark,"Crime, Drama, Musical",2000,8.0,train
The Straight Story,"Biography, Drama",1999,8.0,train
Pâfekuto burû,"Animation, Crime, Mystery",1997,8.0,train
Festen,Drama,1998,8.0,train
Central do Brasil,Drama,1998,8.0,train
The Iron Giant,"Animation, Action, Adventure",1999,8.0,train
Knockin' on Heaven's Door,"Action, Crime, Comedy",1997,8.0,train
Sling Blade,Drama,1996,8.0,train
Secrets & Lies,"Comedy, Drama",1996,8.0,train
Twelve Monkeys,"Mystery, Sci-Fi, Thriller",1995,8.0,train
Kôkaku Kidôtai,"Animation, Action, Crime",1995,8.0,train
The Nightmare Before Christmas,"Animation, Family, Fantasy",1993,8.0,train
Groundhog Day,"Comedy, Fantasy, Romance",1993,8.0,train
Bound by Honor,"Crime, Drama",1993,8.0,train
Scent of a Woman,Drama,1992,8.0,train
Aladdin,"Animation, Adventure, Comedy",1992,8.0,train
JFK,"Drama, History, Thriller",1991,8.0,train
Beauty and the Beast,"Animation, Family, Fantasy",1991,8.0,train
Dances with Wolves,"Adventure, Drama, Western",1990,8.0,train
Do the Right Thing,"Comedy, Drama",1989,8.0,train
Rain Man,Drama,1988,8.0,train
Akira,"Animation, Action, Sci-Fi",1988,8.0,train
The Princess Bride,"Adventure, Family, Fantasy",1987,8.0,train
Der Himmel über Berlin,"Drama, Fantasy, Romance",1987,8.0,train
Au revoir les enfants,"Drama, War",1987,8.0,test
Tenkû no shiro Rapyuta,"Animation, Adventure, Drama",1986,8.0,train
The Terminator,"Action, Sci-Fi",1984,8.0,train
Gandhi,"Biography, Drama, History",1982,8.0,test
Kagemusha,"Drama, History, War",1980,8.0,train
Being There,"Comedy, Drama",1979,8.0,train
Annie Hall,"Comedy, Romance",1977,8.0,train
Jaws,"Adventure, Thriller",1975,8.0,train
Dog Day Afternoon,"Biography, Crime, Drama",1975,8.0,train
Young Frankenstein,Comedy,1974,8.0,train
Papillon,"Biography, Crime, Drama",1973,8.0,train
The Exorcist,Horror,1973,8.0,train
Sleuth,"Mystery, Thriller",1972,8.0,train
The Last Picture Show,"Drama, Romance",1971,8.0,train
Fiddler on the Roof,"Drama, Family, Musical",1971,8.0,train
Il conformista,Drama,1970,8.0,train
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",1969,8.0,train
Rosemary's Baby,"Drama, Horror",1968,8.0,test
Planet of the Apes,"Adventure, Sci-Fi",1968,8.0,train
The Graduate,"Comedy, Drama, Romance",1967,8.0,train
Who's Afraid of Virginia Woolf?,Drama,1966,8.0,train
The Sound of Music,"Biography, Drama, Family",1965,8.0,test
Doctor Zhivago,"Drama, Romance, War",1965,8.0,train
Per un pugno di dollari,"Action, Drama, Western",1964,8.0,train
8½,Drama,1963,8.0,test
Vivre sa vie: Film en douze tableaux,Drama,1962,8.0,train
The Hustler,"Drama, Sport",1961,8.0,train
La dolce vita,"Comedy, Drama",1960,8.0,train
Rio Bravo,"Action, Drama, Western",1959,8.0,test
Anatomy of a Murder,"Crime, Drama, Mystery",1959,8.0,train
Touch of Evil,"Crime, Drama, Film-Noir",1958,8.0,train
Cat on a Hot Tin Roof,Drama,1958,8.0,test
Sweet Smell of Success,"Drama, Film-Noir",1957,8.0,train
The Killing,"Crime, Drama, Film-Noir",1956,8.0,train
The Night of the Hunter,"Crime, Drama, Film-Noir",1955,8.0,train
La Strada,Drama,1954,8.0,train
Les diaboliques,"Crime, Drama, Horror",1955,8.0,train
Stalag 17,"Comedy, Drama, War",1953,8.0,test
Roman Holiday,"Comedy, Romance",1953,8.0,train
A Streetcar Named Desire,Drama,1951,8.0,train
In a Lonely Place,"Drama, Film-Noir, Mystery",1950,8.0,train
Kind Hearts and Coronets,"Comedy, Crime",1949,8.0,train
Rope,"Crime, Drama, Mystery",1948,8.0,train
Out of the Past,"Crime, Drama, Film-Noir",1947,8.0,test
Brief Encounter,"Drama, Romance",1945,8.0,train
Laura,"Drama, Film-Noir, Mystery",1944,8.0,train
The Best Years of Our Lives,"Drama, Romance, War",1946,8.0,train
Arsenic and Old Lace,"Comedy, Crime, Thriller",1942,8.0,train
The Maltese Falcon,"Film-Noir, Mystery",1941,8.0,train
The Grapes of Wrath,"Drama, History",1940,8.0,train
The Wizard of Oz,"Adventure, Family, Fantasy",1939,8.0,train
La règle du jeu,"Comedy, Drama",1939,8.0,train
The Thin Man,"Comedy, Crime, Mystery",1934,8.0,train
All Quiet on the Western Front,"Drama, War",1930,8.0,train
Bronenosets Potemkin,"Drama, History, Thriller",1925,8.0,test
Knives Out,"Comedy, Crime, Drama",2019,7.9,train
Dil Bechara,"Comedy, Drama, Romance",2020,7.9,train
Manbiki kazoku,"Crime, Drama",2018,7.9,train
Marriage Story,"Comedy, Drama, Romance",2019,7.9,train
Call Me by Your Name,"Drama, Romance",2017,7.9,train
"I, Daniel Blake",Drama,2016,7.9,train
Isle of Dogs,"Animation, Adventure, Comedy",2018,7.9,train
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",2016,7.9,train
Captain Fantastic,"Comedy, Drama",2016,7.9,train
